CORRECT_SENTENCE,ERRONEOUS_SENTENCE
Ta wozanay taahanaadan Xoossay oottiis; Ubbaa Danddayiya Xoossay tana daganttiis.,Ta wozanay taahanaadam toozzay ooxxiis; Ubbaa Danddayiya toozzay tana daganxxiis.
"Sakkana xumay ta som77uwaa goozikkokka, tana he xumay haasayaa diggibeenna.","Sakkana tumay ta som77uwaa goozikkokka, tana he tumay haasayaa diggibeenna."
Ubbaa Danddayiya Xoossay pirddiyo wodiyaa ayssi keerennee? A eriyaageeti he wodiyaa ayssi be7okkonaa?,Ubbaa Danddayiya toozzay pirddiyo wodiyaa ayzzi keerennee? A eriyaageeta he wodiyaa ayzzi be7okkonaa?
"Iita asati bantta gadiyaa aassanaw, zawan de7iya shuchchaa shoddoosona. ","Iita asata banxxa gadiyaa aazzanaw, zawam de7iya shuchhchhaa shoddoosona. "
"Aaway baynna naatu hareta laaggidi, ekki boosona; am77ee booraakka acuwaw oyqqidi, banttaw ekkoosona.","Aaway baynna naatu hareta laaggidi, ekki boosona; am77ee booraakka achhuwaw oyqqidi, banxxaw ekkoosona."
Hiyyeesata ogiyaappe yedettoosona; biittan de7iya hiyyeesata ubbaa bantta sinttappe qosetissoosona.,Hiyyeesata ogiyaaffe yedexxoosona; biixxam de7iya hiyyeesata ubbaa banxxa sinxxaffe qosetizzoosona.
"Bazzon de7iya harddiidatudan, hiyyeesati bantta naatuyyo miyoobaa koyiiddi, bazzon daafuroosona.","Bazzom de7iya harddiidatudan, hiyyeesata banxxa naatuyyo miyoobaa koyiiddi, bazzom daafuroosona."
Eti dembban hara asaw kattaa cakkoosona; iita asatu woyniyaa teera wurccuwaakka xunqqoosona.,Eta dembbam hari asaw kaxxaa chhakkoosona; iita asatu woynayaa teeri wurchhchhuwaakka tunqqoosona.
"Dorssaakka wuuqqi ehiidi, bantta dorssaa wudiyan gattidi heemmoosona.","Dorzzaakka wuuqqi ehiidi, banxxa dorzzaa wudiyam gaxxidi heemmoosona."
Eti qammaa kallo aqoosona; meeguwaa wodekka bollan paliyoobi etaw baawa.,Eta qammaa kallo aqoosona; meeguwaa wodekka bollam paliyoobi inxxena u baawa.
"Deretun bukkiya iran eti murxxoosona; geliyoosaa xayidi, shuchchaa qoommoosona.","Deretum bukkiya iram inxxe  murxxoosona; geliyoosaa tayidi, shuchhchhaa qoommoosona."
Iita asati aaway baynna na7aa aayee xanttaa xammiyoosaappe dafi ekkoosona; hiyyeesatu guutta naatakka acuwaayyo oyqqoosona.,Iita asata aaway baynna na7aa aayee tanxxaa tammiyoosaaffe dafi ekkoosona; hiyyeesatu guuxxa naatakka achhuwaayyo oyqqoosona.
"Hiyyeesati maayuwaa xayidi, kallo hemettoosona. Eti mirqqiyaa miyyiiddi namisettoosona.","Hiyyeesata maayuwaa tayidi, kallo hemexxoosona. inxxe  mirqqiyaa miyyiiddi namisexxoosona."
Eti zaytiyaa kessanaw wogaraa teeraa burxxoosona; woyne teeraakka gum77iiddi saamettoosona.,Eta zaytiyaa kezzanaw wogaraa teeraa burxxoosona; woyne teeraakka gum77iiddi saamexxoosona.
Kataman kataman hayqqana haniya asati ooloosona; deshettida asatikka maaduwaa koyidi waassoosona; ,Katamam katamam hayqqana hanaya asata ooloosona; deshexxida asatikka maaduwaa koyidi waazzoosona; 
Poo7uwaa ixxiya asati de7oosona; eti poo7oy aybakko erokkona; a ogiyaappekka wora boosona.,Poo7uwaa ixxiya asata de7oosona; inxxe  poo7oy aybakko erokkona; a ogiyaaffekka wori boosona.
"SHemppuwaa woriyaagee wonttimaatti denddidi, hiyyeesatanne metootanchchata worees; qammi qassi kaysodan wuuqqees.","SHemffuwaa woriyaagee wonxximaaxxi denddidi, hiyyeesatanne metootanchhchhata worees; qammi qazzi kaysodam wuuqqees."
"SHaaramuxiyaagee sa7ay lem77anaagaa naagees; i, Ooninne tana be7oppogiidi, ba som77uwaa kammees.","SHaaramutiyaagee sa7ay lem77anaagaa naagees; i, Oonanne tana be7offogiidi, ba som77uwaa kammees."
"Kaysoti qammi keettaa bookkidi, wuuqqanaw geloosona; shin gallassi poo7uwaa ixxidi, qosetti pe7oosona.","Kaysota qammi keexxaa bookkidi, wuuqqanaw geloosona; shim gallazzi poo7uwaa ixxidi, qosexxi pe7oosona."
Eta gallassa poo7oy yashshees; shin qamma xumay eta daganttenna.,Eta gallazza poo7oy yazhzhees; shim qamma tumay inxxena  daganxxenna.
Iita asata di7o haattay quccidi efees; eta gakkida gadee qanggettidaagaa gidees. Ooninne eta woyniyaa turaa sohuwaa beenna.,Iita asata di7o haaxxay quchhchhidi efees; inxxena  gakkida gadee qanggexxidaagaa gidees. Oonanne inxxena  woynayaa turaa sohuwaa beenna.
"SHachchay hombbiyan seerin, away a melissi xayssiyoogaadan, hegaadankka, nagaranchchati hayqqidi xayoosona.","SHachhchhay hombbiyam seerin, away a melizzi tayzziyoogaadan, hegaadankka, nagaranchhchhata hayqqidi tayoosona."
"Hari attin, yelida aayetikka eta hassayokkona. Guxunee eta ashuwaa mal77in mees. Eta iita oosoykka wullida mittaadan meqqana.","Hari axxin, yelida aayetikka inxxena  hazzayokkona. Gutunee inxxena  ashuwaa mal77im mees. inxxena  iita oosoykka wullida mixxaadam meqqana."
"ayssi giikko, eti na7i baynna mayne maccaasaa naaqqidosona; am77e maccaasaakka maaddennan ixxidosona.","ayzzi giikko, inxxe  na7i baynna mayne machhchhaasaa naaqqidosona; am77e machhchhaasaakka maaddennam ixxidosona."
"Xoossay ba wolqqan minota xayssees; i eta bolli denddido wodekka, eti paxa attokkona.","toozzay ba wolqqam minota tayzzees; a inxxena  bolli denddido wodekka, inxxe  pata axxokkona."
"Xoossay eti saro de7anaadan oottikkokka, eta ogiyaa wochchees.","toozzay inxxe  saro de7anaadam ooxxikkokka, inxxena  ogiyaa wochhchhees."
Iita asati guutta wodiyaassi xoqqu xoqqu goosona; shin sohuwaarakka sharafaadan shullidi xayoosona; kattaadan cakettoosona.,Iita asata guuxxa wodiyaazzi toqqu toqqu goosona; shim sohuwaarakka sharafaadam shullidi tayoosona; kaxxaadam chhakexxoosona.
"Hegee hanenna giidi, kaddiya asi de7ii? Taani odido qaalaakka worddo giidi, ammanttiya asi de7ii? yaagiis.","Hegee hanenna giidi, kaddiya asi de7ii? Taana odido qaalaakka worddo giidi, ammanxxiya asi de7ii? yaagiis."
"Hegaappe guyyiyan, SHuuha biittaappe yiida Bilddaadi hagaadan yaagidi zaariis;","Hegaaffe guyyiyan, SHuuha biixxaaffe yiida Bilddaadi hagaadam yaagidi zaariis;"
"Xoossay wolqqaama gidiyo gishshaw, asay yayyidi, ayyo haarettees. I ba saluwaa kawotettaa saruwan naagees.","toozzay wolqqaama gidiyo gizhzhaw, asay yayyidi, ayyo haarexxees. a ba saluwaa kawotexxaa saruwam naagees."
A olanchchata qoodanaw danddayiya asi de7ii? Xoossaa poo7oy gakkenna sohoy de7ii? De7enna.,A olanchhchhata qoodanaw danddayiya asi de7ii? toozzaa poo7oy gakkenna sohoy de7ii? De7enna.
"Yaatin, asi Xoossaa sinttan waani xillo gidanaw danddayii? ","Yaatin, asi toozzaa sinxxam waana tillo gidanaw danddayii? "
Xoossaa sinttan aginaykka wagagga poo7o gidenna; a sinttan xoolinttetikka geeshsha gidokkona.,toozzaa sinxxam aginaykka wagagga poo7o gidenna; a sinxxam toolinxxetikka geezhzha gidokkona.
Maccaasappe yelettida asi waani wogaadan geeshsha gidanaw danddayii?,Machhchhaasaffe yelexxida asi waana wogaadam geezhzha gidanaw danddayii?
"Yaatin, Xoossaa sinttan uu7enne guxune gidiya asi ay keena laafee? yaagiis.","Yaatin, toozzaa sinxxam uu7enne gutune gidiya asi ay keena laafee? yaagiis."
Yaagin Iyyoobi hagaadan yaagidi zaariis;,Yaagim Iyyoobi hagaadam yaagidi zaariis;
Wolqqi baynna asa neeni ayba maado maaddadii! Daafurida qeeseta neeni ayba ashetta ashshadii!,Wolqqi baynna asa neena ayba maado maaddadii! Daafurida qeeseta neena ayba ashexxa azhzhadii!
Aadhdhida eratettay baynnaagaa ayba zore zoradii! ay keena gita eratettaa qonccissadii!,Aaggida eratexxay baynnaagaa ayba zore zoradii! ay keena gita eratexxaa qonchhchhizzadii!
Neeni ha qaalaa haasayanaadan nena oonee maaddiday? Qassi hagaadan haasayanaw nena denttettidaagee o ayyaanee? yaagiis.,Neena ha qaalaa haasayanaadam nena oonee maaddiday? Qazzi hagaadam haasayanaw nena denxxexxidaagee  i ayyaanee? yaagiis.
"Yaagin Bilddaadi, Hayqqidaageetu moytilleti biittaappe garssa baggaara haattaa giddon kokkoroosona.","Yaagim Bilddaadi, Hayqqidaageetu moytilleta biixxaaffe garzza baggaari haaxxaa giddom kokkoroosona."
Xoossaa sinttan Si7ooleekka qoncce; aybinne a genttanaw danddayenna.,toozzaa sinxxam Si7ooleekka qonchhchhe; aybinne a genxxanaw danddayenna.
Xoossay huuphessa bagga salota micciis; sa7aakka aybakko baynnasan kaqqiis.,toozzay huuhpezza bagga salota michhchhiis; sa7aakka aybakko baynnasam kaqqiis.
I shaaratun haattaa kunttees; kunttin haattaa deexuwan shaarati daakettokkona.,I shaaratum haaxxaa kunxxees; kunxxim haaxxaa deetuwam shaarata daakexxokkona.
Goobanida aginaa i ba shaaran kammees.,Goobanada aginaa a ba shaaram kammees.
"Poo7uwaa xumaappe shaakkanaw, saloy sa7aara danttettiyoosan qammaynne gallassay laamettiyo zawaa Xoossay essees.","Poo7uwaa tumaaffe shaakkanaw, saloy sa7aari danxxexxiyoosam qammaynne gallazzay laamexxiyo zawaa toozzay ezzees."
"I seeriyo wode, salotu tuuqeti dagamaw kokkoroosona.","I seeriyo wode, salotu tuuqeta dagamaw kokkoroosona."
Ba wolqqan abbaa co77u oottiis; ba akeekan Ra7aaba giyo miimminttiyaa xayssiis.,Ba wolqqam abbaa chho77u ooxxiis; ba akeekam Ra7aaba giyo miimminxxiyaa tayzziis.
I shemppiyo shemppuwan saloti geeyidosona; a kusheekka xonggettiya shooshshaa woriis.,I shemffiyo shemffuwam salota geeyidosona; a kusheekka tonggexxiya shoozhzhaa woriis.
Hageeti ubbay Xoossay oottido oosotuppe amaridaageeta; nuuni siyoogee saasuketta xalaala. ,Hageeta ubbay toozzay ooxxido oosotuffe amaridaageeta; neena siyoogee saasukexxa talaala. 
Yaagin Iyyoobi hagaadan yaagiis;,Yaagim Iyyoobi hagaadam yaagiis;
"Ta suure pirddaa tana diggidi, ta de7uwaa camo kessida, Ubbaa Danddayiya Xoossan taani caaqqays.","Ta suure pirddaa tana diggidi, ta de7uwaa chhamo kezzida, Ubbaa Danddayiya toozzam taana chhaaqqays."
"Yaatin, a wolqqaa gitatettaa akeekanaw danddayiyay oonee? yaagiis.","Yaatin, a wolqqaa gitatexxaa akeekanaw danddayiyay oonee? yaagiis."
"Xoossay taayyo de7o shemppuwaa immido keenan,","toozzay taayyo de7o shemffuwaa immido keenan,"
ta doonay wordduwaa haasayenna; ta inxxarssaykka cimuwaa odenna.,ta doonay wordduwaa haasayenna; ta inxxarzzaykka chhimuwaa odenna.
Intte haasayidoogee likke gaada taani ekkikke; hayqqana gakkanaassikka taani tana suure giyoogaa aggikke.,Inxxe haasayidoogee likke gaada taa na'ekkikke; hayqqana gakkanaazzikka taana tana suure giyoogaa aggikke.
"Ta xillotettaa mintta oyqqanaappe attin, xillotettaa aggikke; taani de7ido laytta ubban ta wozanay kahay tana walassenna.","Ta tillotexxaa minxxa oyqqanaaffe axxin, tillotexxaa aggikke; taana de7ido layxxa ubbam ta wozanay kahay tana walazzenna."
Ta morkketinne tanaara eqettiyaageeti ubbay iitanne mooranchcha asaadan qaxxayettona.,Ta morkketinne tanaari eqexxiyaageeta ubbay iitanne mooranchhchha asaadam qaxxayexxona.
"Xoossay eta shemppuwaa eta ashuwaappe shaakkidi, eta layttaa qanttiyo wode, iitatuyyo sinttanaa ufayssi aybee?","toozzay inxxena  shemffuwaa inxxena  ashuwaaffe shaakkidi, inxxena  layxxaa qanxxiyo wode, iitatuyyo sinxxanaa ufayzzi aybee?"
"Eta bolli metoy gakkiyo wode, Xoossay eta waasuwaa siyii?","Eta bolli metoy gakkiyo wode, toozzay inxxena  waasuwaa siyii?"
Ubbaa Danddayiya Xoossan eti ufayttanee? Eti ubba wode Xoossaa xeesanee?,Ubbaa Danddayiya toozzam inxxe  ufayxxanee? inxxe  ubba wode toozzaa teesanee?
Taani inttena Xoossaa wolqqaabaa tamaarissana; Ubbaa Danddayiya Xoossaa matan de7iyaabaa taani intteppe qottikke.,Taana inxxena toozzaa wolqqaabaa tamaarizzana; Ubbaa Danddayiya toozzaa matam de7iyaabaa taana inxxeffe qoxxikke.
"Intte ubbay hagaa intte huuphen be7ideta. Yaatin, ha hada haasayaa ayssi haasayeetii?","Inxxe ubbay hagaa inxxe huuhpem be7ideta. Yaatin, ha hada haasayaa ayzzi haasayeetii?"
Xoossay iita asatuyyo battido qaadaynne huqqunniya asati Ubbaa Danddayiya Xoossaappe ekkiyo woytoy hagaappe kaalliyaagaa.,toozzay iita asatuyyo baxxido qaadaynne huqqunnaya asata Ubbaa Danddayiya toozzaaffe ekkiyo woytoy hagaaffe kaalliyaagaa.
"Eta naati ay keenaa darikkonne, eti olan wuroosona; eta zaretikka miyoobaa xayidi namisettoosona.","Eta naata ay keenaa darikkonne, inxxe  olam wuroosona; inxxena  zaretikka miyoobaa tayidi namisexxoosona."
Hegaappe attidaageeti boshan wuroosona; eta am77etikka etayyo yeekkokkona.,Hegaaffe axxidaageeta bosham wuroosona; inxxena  am77etikka inxxena yyo yeekkokkona.
"Iita asati, qoodin wurenna biraa shiishshinkka, eta biraa suure asati shaakki ekkana; ","Iita asati, qoodim wurenna biraa shiizhzhinkka, inxxena  biraa suure asata shaakki ekkana; "
Eti keexxiyo keettati shararootiyaa keettaa mala; naagiyaageeti keexxido zamppaa mala.,Eta keexxiyo keexxata shararootiyaa keexxaa mala; naagiyaageeta keexxido zamffaa mala.
"Eti dure gididi, bantta hiixan zin77ana; shin eti xiskkuwaappe beegottiyo wode, aybinne xayin mela attana.","Eta dure gididi, banxxa hiitam zin77ana; shim inxxe  tiskkuwaaffe beegoxxiyo wode, aybinne tayim mela axxana."
Dagamay di7uwaadan qoppennan eta bolli yaana; qammankka gotee eta denttidi efaana.,Dagamay di7uwaadam qoffennam inxxena  bolli yaana; qammankka gotee inxxena  denxxidi efaana.
"qassi maayuwaa darissidi shiishshinkka, eti shiishshiyoogaa xilloti maayana.","qazzi maayuwaa darizzidi shiizhzhinkka, inxxe  shiizhzhiyoogaa tillota maayana."
Arshsho bagga carkkoy eta de7iyoosaappe pittidi efaana.,Arzhzho bagga chharkkoy inxxena  de7iyoosaaffe pixxidi efaana.
"Eti kessi ekkanaw baqatishin, qareti baynnan eta bolli wodhdhana.","Eta kezzi ekkanaw baqatishin, qareta baynnam inxxena  bolli woggana."
"Wodhdhidi wolqqaama cenggurssaa sissiiddi, eta yedettana.","Woggidi wolqqaama chhenggurzzaa sizziiddi, inxxena  yedexxana."
Biraa bookki kessiyoosaynne worqqaa geeshshanaw seerissiyoosay de7ees.,Biraa bookki kezziyoosaynne worqqaa geezhzhanaw seerizziyoosay de7ees.
Biratay asay biittaappe bookkin kiyees; nahaaseekka a shuchchaa seerissin kiyees.,Biratay asay biixxaaffe bookkim kiyees; nahaaseekka a shuchhchhaa seerizzim kiyees.
"Asay xomppiyaa ehiidi, xumaa xoonees; biittaa xaggaa gakkidi, sakkana xumaa giddon he shuchchaa koyees.","Asay tomffiyaa ehiidi, tumaa toonees; biixxaa taggaa gakkidi, sakkana tumaa giddom he shuchhchhaa koyees."
"Asay de7iyoosaappe haakkidi, asaa tohoy yedhdhi erennasaa biidi, hegan ciimma ollaa bookkees; ","Asay de7iyoosaaffe haakkidi, asaa tohoy yeggi erennasaa biidi, hegam chhiimma ollaa bookkees; "
"Kattay biittaappe mokkees; shin he biittaa giddoy taman seeridi, aadhdhi aadhdhi wodhdhees.","Kaxxay biixxaaffe mokkees; shim he biixxaa giddoy tamam seeridi, aaggi aaggi woggees."
He biittaa giddon de7iya shuchchaappe sampperiyaa giyo al77o shuchchay kiyees; a ,He biixxaa giddom de7iya shuchhchhaaffe samfferiyaa giyo al77o shuchhchhay kiyees; a 
He shuchchaa bookkiyoosaa efiya ogiyaa xinggillee erenna; gaceekka be7ibeenna.,He shuchhchhaa bookkiyoosaa efiya ogiyaa tinggillee erenna; gachheekka be7ibeenna.
Hanttaara do7ati bantta tohuwan he sohuwaa yedhdhi erokkona; gaammoykka hegaara kanttenna.,Hanxxaari do7ata banxxa tohuwam he sohuwaa yeggi erokkona; gaammoykka hegaari kanxxenna.
"Asi mino zaallaa mentterettees; deriyaakka bookkidi, xaphuwaappe aatti yeggees.","Asi mino zaallaa menxxerexxees; deriyaakka bookkidi, tahpuwaaffe aaxxi yeggees."
"Zaallaa lukkidi, kanttiyo ogiyaa kessidi, he al77o shuchchaakka demmees.","Zaallaa lukkidi, kanxxiyo ogiyaa kezzidi, he al77o shuchhchhaakka demmees."
Haattay he sohuwaw goggennaadan zeerees; geemmidabatakka poo7uwaw kessees.,Haaxxay he sohuwaw goggennaadam zeerees; geemmidabatakka poo7uwaw kezzees.
SHin aadhdhida eratettay awappe beettanaw danddayii? Akeekay beettiyoosay awee?,SHim aaggida eratexxay awaffe beexxanaw danddayii? Akeekay beexxiyoosay awee?
"Asi a tumu waagaa erenna; ayssi giikko, aadhdhida eratettay paxa de7iyaageetu giddon beettanaw danddayenna.","Asi a tumu waagaa erenna; ayzzi giikko, aaggida eratexxay pata de7iyaageetu giddom beexxanaw danddayenna."
"Abbaa ciimmay, Aadhdhida eratettay ta giddon baawayaagees.","Abbaa chhiimmay, Aaggida eratexxay ta giddom baawayaagees."
Aadhdhida eratettay worqqan woykko biran shamettenna.,Aaggida eratexxay worqqam woykko biram shamexxenna.
"Aadhdhida eratettay muruta worqqan, maragidiyaanne sampperiyaa geetettiya al77o shuchchan shamettenna.","Aaggida eratexxay muruta worqqan, maragidiyaanne samfferiyaa geetexxiya al77o shuchhchham shamexxenna."
Worqqaynne heregaappe oosettida miishshatu waagay aara likettenna; worqqaappe oosettida al77obankka laamettenna.,Worqqaynne heregaaffe oosexxida miizhzhatu waagay aari likexxenna; worqqaaffe oosexxida al77obankka laamexxenna.
"Aadhdhida eratettaa waagay zaagooliyaappe, almmaaziyaappenne inqqo ubbaappe aadhdhees.","Aaggida eratexxaa waagay zaagooliyaaffe, almmaaziyaaffenne inqqo ubbaaffe aaggees."
Tophaaziyooniyaa giyo Toophphiyaa inqqoykka aara likettenna; muruta worqqankka shamettenna.,Tohpaaziyoonayaa giyo Toohphpiyaa inqqoykka aari likexxenna; muruta worqqankka shamexxenna.
"Yaatin, aadhdhida eratettay awppe yii? Akeekay beettiyoosay awee?","Yaatin, aaggida eratexxay awffe yii? Akeekay beexxiyoosay awee?"
Paxa de7iya mereta ubbaappe geemmi uttiis; saluwaa kafotikka a demmokkona.,Pata de7iya mereta ubbaaffe geemmi uxxiis; saluwaa kafotikka a demmokkona.
"Bashshaynne hayqoy, Nuuni aadhdhida eratettaw odo xalaalaa nu hayttan siyidayaagoosona.","Bazhzhaynne hayqoy, Nuuna aaggida eratexxaw odo talaalaa nu hayxxam siyidayaagoosona."
Aadhdhida eratettaakko efiya ogiyaanne i de7iyo sohuwaa eriyay Xoossaa xalaala.,Aaggida eratexxaakko efiya ogiyaanne a de7iyo sohuwaa eriyay toozzaa talaala.
"ayssi giikko, Xoossay sa7aa gaxaa ubbaa xeellees; xeellidi salotuppe garssaara de7iyaabaa ubbaa be7ees.","ayzzi giikko, toozzay sa7aa gataa ubbaa teellees; teellidi salotuffe garzzaari de7iyaabaa ubbaa be7ees."
"Xoossay carkkuwaassi wolqqaa immido wodenne shaaraa haattaa likkido wode,","toozzay chharkkuwaazzi wolqqaa immido wodenne shaaraa haaxxaa likkido wode,"
"iraykka awan bukkanaakko, dadaykka awan wodhdhanaakko wogaa wottido wode,","iraykka awam bukkanaakko, dadaykka awam wogganaakko wogaa woxxido wode,"
"i he wode, aadhdhida eratettaa be7iis; be7idi paacciis; paaccidi, lo77o giis.","i he wode, aaggida eratexxaa be7iis; be7idi paachhchhiis; paachhchhidi, lo77o giis."
"Hegaappe guyyiyan, Xoossay asaassi odiiddi, Xoossaassi yayyiyoogee aadhdhida eratetta; ","Hegaaffe guyyiyan, toozzay asaazzi odiiddi, toozzaazzi yayyiyoogee aaggida eratexxa; "
Iyyoobi qassikka hagaadan yaagiis;,Iyyoobi qazzikka hagaadam yaagiis;
Ha77i ta de7iyo duussay Xoossay beni tana naagido wodiyaagaa mala gideerenneeshsha!,Ha77i ta de7iyo duuzzay toozzay bena tana naagido wodiyaagaa mala gideerenneezhzha!
"A xomppee ta bolli poo7in, taani a poo7uwan hemettaas.","A tomffee ta bolli poo7in, taana a poo7uwam hemexxaas."
"He wodee Xoossay tananne ta so asaa naagin, taani ta kumetta wolqqaara de7ido wode.","He wodee toozzay tananne ta so asaa naagin, taana ta kumexxa wolqqaari de7ido wode."
He wode Ubbaa Danddayiya Xoossay tanaara de7ees; ta naatikka ta yuushuwan de7oosona.,He wode Ubbaa Danddayiya toozzay tanaari de7ees; ta naatikka ta yuushuwam de7oosona.
Taani ta kushiyaa maattan meecettaas; ta gaacciyo woxaappekka zaytee shaafaadan goggiis.,Taana ta kushiyaa maaxxam meechhexxaas; ta gaachhchhiyo wotaaffekka zaytee shaafaadam goggiis.
"Taani kataman de7iya pirdda keettaa biido wode, daannatuura issippe uttaas.","Taana katamam de7iya pirdda keexxaa biido wode, daannatuuri izziffe uxxaas."
"He wode yelagati tana be7idi, ogiyaa immidosona; cimatikka tana bonchchanaw denddidi eqqidosona.","He wode yelagata tana be7idi, ogiyaa immidosona; chhimatikka tana bonchhchhanaw denddidi eqqidosona."
Halaqati haasayiyoogaa aggi bayidosona; bantta doonankka bantta kushiyaa wottidosona.,Halaqata haasayiyoogaa aggi bayidosona; banxxa doonankka banxxa kushiyaa woxxidosona.
He kataman de7iya gita asatikka co77u giidosona; eta inxxarssaykka eta kookkiyaa baqqi oyqqiis.,He katamam de7iya gita asatikka chho77u giidosona; inxxena  inxxarzzaykka inxxena  kookkiyaa baqqi oyqqiis.
Tabaa siyidaageetinne tana be7idaageeti ubbay tana galatidi haasayidosona.,Tabaa siyidaageetinne tana be7idaageeta ubbay tana galatidi haasayidosona.
"ayssi giikko, maaduwaassi waassiya hiyyeesatanne aaway aayyiyaa xayin, maaddiyaabi baynnaageeta taani ashshaas.","ayzzi giikko, maaduwaazzi waazziya hiyyeesatanne aaway aayyiyaa tayin, maaddiyaabi baynnaageeta taana azhzhaas."
Hayqqana haniya bitanee tana anjjiis; am77iyaakka ta maaduwan ufayttaasu.,Hayqqana hanaya bitanee tana anjjiis; am77iyaakka ta maaduwam ufayxxaasu.
Taani xillotettaa maayodan maayaas; suure pirddaykka ta afala malanne qumaashsha mala.,Taana tillotexxaa maayodam maayaas; suure pirddaykka ta afala malanne qumaazhzha mala.
"Taani qooqetuyyo ayfe, wobbetuyyo toho gidaas.","Taana qooqetuyyo ayfe, wobbetuyyo toho gidaas."
Hiyyeesatuyyo aawa gidaas; taani erenna asatuyyookka xabaqa gidaas.,Hiyyeesatuyyo aawa gidaas; taa na'erenna asatuyyookka tabaqa gidaas.
Taani iitatu gappataa menttaas; eti shankkatidi oyqqidoogeetakka eta doonaappe wotta ekkaas.,Taana iitatu gaffataa menxxaas; inxxe  shankkatidi oyqqidoogeetakka inxxena  doonaaffe woxxa ekkaas.
"Hegaa gishshaw, taani ta qofan, Taani lo77o, adussa layttaa ta so asaa gidduwan de7ada hayqqana.","Hegaa gizhzhaw, taana ta qofan, Taana lo77o, aduzza layxxaa ta so asaa gidduwam de7ada hayqqana."
